"GMI_CNTRY","POPIO_NAME","POINT_X","POINT_Y","CONTINENT","POPIO_NAME_ES"
"QAT","Qatar",51.187565,25.312777,"Asia","Qatar"
"VEN","RB-de-Venezuela",-66.176722,7.125003,"South America","Venezuela"
"KOR","Rep of Korea",127.832194,36.350473,"Asia","Corea del Sur"
"YEM","Rep of Yemen",47.590931,15.905155,"Asia","Yemen"
"REU","Reunion",55.5381806497,-21.1216615325,"Africa","Reuni—n"
"ROM","Romania",24.973099,45.853413,"Europe","Ruman’a"
"RUS","Russian Federation",96.688981,61.983471,"Asia","Rusia"
"RWA","Rwanda",29.919061,-1.99275,"Africa","Ruanda"
"WSM","Samoa",-172.160278,-13.754676,"Oceania","Samoa"
"STP","Sao Tome and Principe",6.726958,0.444039,"Africa","Sao Tome y Principe"
"SAU","Saudi Arabia",44.537759,24.122444,"Asia","Arabia Saudita"
"SEN","Senegal",-14.47103,14.367794,"Africa","Senegal"
"SRB","Serbia",20.8054574559,44.0320458078,"Europe","Serbia"
"SYC","Seychelles",51.882275,-6.590675,"Africa","Seychelles"
"SLE","Sierra Leone",-11.79483,8.563161,"Africa","Sierra Leone"
"SGP","Singapore",103.813797,1.358791,"Asia","Singapur"
"SVK","Slovak Republic",19.480383,48.704935,"Europe","Eslovaquia"
"SVN","Slovenia",14.808139,46.116136,"Europe","Eslovenia"
"SLB","Solomon Islands",159.616703,-8.901954,"Oceania","Islas Salom—n"
"SOM","Somalia",45.705311,4.747511,"Africa","Somalia"
"ZAF","South Africa",25.087733,-29.001052,"Africa","Sud‡frica"
"SSD","South Sudan",30.251066,7.305706,"Africa","South Sudan"
"ESP","Spain",-3.656802,40.236901,"Africa","Espa–a"
"LKA","Sri Lanka",80.70355,7.615738,"Asia","Sri Lanka"
"LCA","St-Lucia",-60.969577,13.902485,"North America","St-Lucia"
"VCT","St-Vincent and the Grenadines",-61.202642,13.216083,"North America","St-Vincent and the Grenadines"
"SDN","Sudan",29.939383,15.986757,"Africa","Sud‡n"
"SUR","Suriname",-55.912136,4.128481,"South America","Surinam"
"SWZ","Swaziland",31.480024,-26.561914,"Africa","Swazilandia"
"SWE","Sweden",16.752894,62.789174,"Europe","Suecia"
"CHE","Switzerland",8.215383,46.799023,"Europe","Suiza"
"SYR","Syrian Arab Rep",38.504649,35.022993,"Asia","Siria"
"TJK","Tajikistan",71.015822,38.52989,"Asia","Tadjikist‡n"
"TZA","Tanzania",34.8081818312,-6.27107287242,"Africa","Tanzania"
"THA","Thailand",101.003318,15.114082,"Asia","Tailandia"
"BHS","The Bahamas",-78.0406006091,24.7014500118,"North America","Bahamas"
"GMB","The Gambia",-15.397103,13.44978,"Africa"," Gambia"
"NLD","The Netherlands",-69.973447,12.516778,"North America","Holanda"
"TMP","Timor-Leste",NA,NA,"Asia","Timor-Leste"
"TGO","Togo",0.962284,8.526721,"Africa","Togo"
"TON","Tonga",-174.840713,-19.968806,"Oceania","Tonga"
"TTO","Trinidad and Tobago",-61.257718,10.46866,"North America","Trinidad y Tobago"
"TUN","Tunisia",9.551856,34.115909,"Africa","Tœnez"
"TUR","Turkey",35.167313,39.060958,"Asia","Turqu’a"
